Ninjutsu          690136471 
Greetings         732121360
Point                2886060014
Nod                  1570689224
Refuse              450598662
Wave                 2890191254
Applaud             1681284212
Stop Stop stop!  3846365576
Show off 1          521758449
Show off 2         767487127
Call                    419486350
Remorse            3142136635
Joy 1                  2042488002
Joy 2                  1441936304
Taunt                  4271773211
Good Work         2440417892
Apologize           2679737030
Woohoo              577511813
Shadow box        3747543313
Crossed Arms     2911330891
Shock                 2779914844
Have Fun            265971467
LOL                    1597975431
Kneel                 1388851383
OMG                  418062269
For honor           3868312077
Bow                   1349005651
Genuflect           4066581064
Flourish              1532093800
Ponder               2791190130
Spirit Fingers     3400342652
Prance               8324598
Regret                2264077207
